"Port","Commodity","Region","Mode","State","trade_type","Tons_2019","Value_2019","Tons_2021","Value_2021","Tons_2022","Value_2022"
"Atlanta","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects","South/Central America",4,"GA","Import",0.00201554232804233,0.334709,0.000585097001763668,0.189111,0,0.263013
"Atlanta","17 Sugars And Sugar Confectionary","Africa",4,"GA","Export",0.000187830687830688,0.00596,NA,NA,NA,NA
"Atlanta","17 Sugars And Sugar Confectionary","Africa",4,"GA","Import",6.09567901234568e-05,0.00686,NA,NA,NA,NA
"Atlanta","17 Sugars And Sugar Confectionary","Asia",4,"GA","Export",0.0056819885361552,0.203044,0.00793000440917108,2.101935,0.00407760141093474,0.118438
"Atlanta","17 Sugars And Sugar Confectionary","Asia",4,"GA","Import",0.000897045855379189,0.13586,0.00068452380952381,0.053879,0,0.082426
"Atlanta","17 Sugars And Sugar Confectionary","Europe",4,"GA","Export",0.00413921957671958,0.164774,0.00509391534391534,0.087926,0.00719168871252205,0.109787
"Atlanta","17 Sugars And Sugar Confectionary","Europe",4,"GA","Import",0.00295800264550265,0.21157,0.00324261463844797,0.25354,0,0.269873
"Atlanta","17 Sugars And Sugar Confectionary","South/Central America",4,"GA","Export",0.00138227513227513,0.017172,0.00435097001763668,0.03687,0.000680224867724868,0.021577
"Atlanta","17 Sugars And Sugar Confectionary","South/Central America",4,"GA","Import",0.000292989417989418,0.019667,0.000121031746031746,0.00726,NA,NA
"Atlanta","18 Cocoa And Cocoa Preparations","Africa",4,"GA","Import",0.00125396825396825,0.131906,NA,NA,NA,NA
"Atlanta","18 Cocoa And Cocoa Preparations","Asia",4,"GA","Export",0.0218510802469136,1.827076,0.0109921737213404,0.550335,0.00590068342151675,0.280878
"Atlanta","18 Cocoa And Cocoa Preparations","Asia",4,"GA","Import",0.000698082010582011,0.052002,0.000197310405643739,0.035197,NA,NA
"Atlanta","18 Cocoa And Cocoa Preparations","Australia and Oceania",4,"GA","Export",0.000168099647266314,0.008008,0.000287257495590829,0.030436,NA,NA
